Category,Content,,,Exact match,Reduced search,Matches,Matches when click 10th page,,,
nolimitshare,ICUE will disclose your personal data to the following third parties,,,6,"""will disclose your personal data to"" privacy policy","52,000",66,,,
nolimitshare,"That said, we work with third parties and they may have access to some of your information",,,53,,,,,,
nolimitshare,"We may share your personal information with third parties including our Internet web site hosting company, our promotion company, and our advertising agency",,,3,"""may share your personal information with third parties including"" privacy policy","269,000",27,,,
nolimitshare,We may disclose your personal information to third parties,,,"2,780,000","""We may disclose your personal information to third parties"" privacy policy","2,750,000","5,540,000",,,
nolimitshare,We also may share personal information we obtain from you through offline sources,,,6,,,,,,
nolimitshare,ToysRUs may share your personal information with service providers,,,"46,100","""may share your personal information with service providers"" privacy policy","42,200","86,500",,,
notsell,We neither rent nor sell your Personal Information to anyone,,,"38,400","""We neither rent nor sell your Personal Information to anyone"" privacy policy","38,400","73,700",,,
notsell,We do not sell or rent email addresses and other Personal Information. ,,,"1,150","""We do not sell or rent""  ""Personal Information"" privacy policy","105,000,000","245,000,000",,,
notsell,SurveyMonkey does not sell your survey responses.,,,3,,,,,,
notsell,"Best Buy does not sell, rent or trade your personal information to third parties",,,"101,000","""does not sell, rent or trade your personal information to third parties"" privacy policy","101,000","176,000",,,
notsell,"Information about our customers is an important part of our business, and we are not in the business of selling it to others. ",,,"49,800","""Information about our customers is an important part of our business"" privacy policy","247,000","438,000","""we are not in the business of selling it to others"" privacy policy","64,900","122,000"
notsell,We do not sell your personal information to third parties.,,,"1,470,000","""We do not sell your personal information to third parties"" privacy policy","1,470,000","2,620,000",,,
notsell,"Information about our customers is an important part of our business, and we are not in the business of selling personally identifiable information to unaffiliated third parties for their commercial use.",,,715,"""we are not in the business of selling personally identifiable information to unaffiliated third parties for their commercial use"" privacy policy",722,714,,,
notsellnotshare,"We do not, under any circumstances, share, sell or rent your information to anyone. ",,,2,,,,,,
notsellnotshare,"We do not rent, sell, or share any of this information with third party companies.",,,2,,,,,,
notsellnotshare,"We do not rent, sell or share any of your personal information with companies that are not affiliated with SEI.",,,3,,,,,,
notsellnotshare,"We do not rent, sell, or share any information about the user with any third-parties. ",,,63,,,,,,
notsellnotshare,We never share or sell your personal information,,,"49,700","""never share or sell your personal information"" privacy policy","319,000","586,000",,,
notsellnotshare,"WE DO NOT RENT, SELL, OR SHARE YOUR PERSONAL INFORMATION WITH ANY THIRD PARTY",,,2,,,,,,
notsellnotshare,"Entersect will not sell, share, or rent this information to any third party companies",,,2,,,,,,
notsellnotshare,"Restricted data is not automatically shared with, sold to, or displayed for other Members or Partners",,,3,,,,,,
notsharemarketing,SPE does not share your Personal Information with third parties for their marketing purposes unless you opt-in to such sharing at the time you provide your Personal Information,,,3,,,,,,
notsharemarketing,"We do not rent, share, sell or trade personally identifiable information with third parties for their direct marketing purposes",,,"1,250","""do not rent, share, sell or trade personally identifiable information with third parties for their direct marketing purposes""","1,250","1,260",,,
notsharemarketing,"Outside of the vendor who participated in your transaction, we will not sell, rent, share, or trade your personal information to third parties for promotional purposes",,,6,,,,,,
notsharemarketing,"We do not sell, rent, or otherwise provide your personal information to unaffiliated third-parties (parties outside the T-Mobile corporate family) to market their services or products to you. ",,,47,,,,,,
notsharemarketing,We do not share your Personal Information with third parties for those third parties marketing purposes unless you consent to such sharing at the time you provide your Personal Information.,,,"1,870","""do not share your Personal Information with third parties for those third parties marketing purposes""","5,000","10,900",,,
notsharemarketing,"We do not rent, sell, or otherwise provide your personally identifiable information to third parties for marketing purposes.",,,255,,,,,,
sellshare,"Unless you have opted out, we may rent, sell, or share any of your information, personal or otherwise, with third parties, including without limitation for the following purposes",,,7,,,,,,
sellshare,"Unless we have otherwise indicated, we may rent, sell, or share any of your information, personal or otherwise, with third parties, including without limitation for the following purposes",,,3,,,,,,
sellshare,"We reserve the right to share, rent, sell, or otherwise disclose data we collect to authorized third parties",,,,,,,,,
sellshare,"We reserve the right to share, rent, sell, or otherwise disclose personal information we collect about you to third parties for marketing products and services which we determine, in our sole judgment, that you might find of interest .",,,,,,,,,
sellshare,"We may sell, rent, license, trade or otherwise disclose your personal information, including but not limited to your mailing address, phone number and other registration information",,,,,,,,,
sellshare,"It is possible that we may rent, sell or otherwise transfer to third parties personally identifiable information about you",,,,,,,,,
sellshare,"We may rent, sell, or share your personal data with partners or third parties we believe may be of interest to you",,,,,,,,,
shareforexception,"We share customer information only as described below and with subsidiaries Amazon.com, Inc. controls that either are subject to this Privacy Notice or follow practices at least as protective as those described in this Privacy Notice",,,,,,,,,
shareforexception,"We share Alexa user data with our parent corporation, Amazon.com, Inc., and the subsidiaries it controls, and we may share personally identifying information with third parties only as described below.",,,,,,,,,
shareforexception,Google only shares personal information with other companies or individuals outside of Google in the following limited circumstances,,,,,,,,,
shareforexception,"We do not sell, lease, rent or otherwise disclose your personal data to third parties unless otherwise stated below",,,,,,,,,
shareforexception,RealNetworks does not use your personal information for purposes incompatible with those listed above. ,,,,,,,,,
shareforexception,Commission Junction will only share your Information for the limited purposes provided for in this Privacy Policy,,,,,,,,,
shareforexception,"We will share your information (in some cases personal information) with third parties, that is parties other than Zynga, in the following circumstances",,,,,,,,,
shareforexception,We share your personal information only as described below,,,,,,,,,
shareforexception,"At times, we may share your personal information with others for various purposes",,,,,,,,,
shareforexception,Bonnier will only share your sensitive personal information with outside companies or individuals in any of the following limited circumstances,,,,,,,,,
shareforexception,"2CO only shares information as described in this Privacy Statement, When we are required or permitted to disclose information, we will not disclose more information than is necessary to fulfill the disclosure purpose",,,,,,,,,
shareforexception,"We may, however, disclose your personal information to unaffiliated third-parties as follows",,,,,,,,,
shareforexception,We do not share Personal Information with third parties except in the limited circumstances described in this Privacy Policy,,,,,,,,,
shareforexception,"LinkedIn takes the privacy of our Users very seriously, and we do not sell, rent, or otherwise provide your personally identifiable information to third parties, except as described in this policy",,,,,,,,,
shareforexception,We share your personal information only as described below.,,,,,,,,,
shareforexception,"We may share the information we have collected about you, including Personal Information, as disclosed at the time you provide your information and as described below or otherwise in this Privacy Policy.",,,,,,,,,
shareforexception,We will share your personal information with third parties only in the ways that are described in this privacy statement.,,,,,,,,,
shareforexception,We share personally identifiable customer information with unaffiliated third parties only as described herein.,,,,,,,,,
shareforexception,We do not share your personal information with third parties other than as follows,,,,,,,,,
shareforexception,"JobStreet.com does not sell, rent or share your personal information with other people or non-affiliated third parties except to provide you with the products or services you have requested or under these circumstances",,,,,,,,,
shareforexceptionandconsent,"Information about our customers is an important part of our business, and we are not in the business of selling it to others. WRAL.com will not rent, sell, or share your personal information with unaffiliated companies or people except (1) as necessary to provide you with products or services you've requested, (2) when we have your permission, or (3) as follows:",,,,,,,,,
shareforexceptionandconsent,"Except as described in this statement, we will not disclose your personal information outside of Microsoft and its controlled subsidiaries and affiliates without your consent. ",,,,,,,,,
shareforexceptionandconsent,"Yahoo! does not rent, sell, or share personal information about you with other people or non-affiliated companies except to provide products or services you've requested, when we have your permission, or under the following circumstances",,,,,,,,,
shareforexceptionandconsent,"Kaltura does not rent, sell, or share personal information about you with other people or non-affiliated companies except to provide products or services you've requested, when we have your permission, or under the following circumstances:",,,,,,,,,
shareforexceptionandconsent,"Unless permitted by relevant laws, or you have provided consent, EMC will not share, sell, trade or lease your personal information to others, except as provided in this Privacy Statement",,,,,,,,,
shareforexceptionandconsent,"We will not sell, license, transmit or disclose your personal information outside of Blackbaud or its affiliates without notice to you unless as noted in this Statement or on our websites",,,,,,,,,
shareforexceptionandconsent,"Except as set forth herein, or if we inform you otherwise at the time of data collection, we will not share your PII or Related Data outside of Dow Jones.",,,,,,,,,
shareforexceptionandconsent,We only share your non-public personal information with non-affiliated third parties when we believe sharing is permitted by you or authorized by this Privacy Policy. ,,,,,,,,,
shareforexceptionandconsent,"We do not share, rent, sell, or otherwise use any personal information you have given us to any third party without your permission, except when required by law, subpoena or other legal process or in order to protect the safety of the public. ",,,,,,,,,
shareforexceptionandconsent,"Except as described in this Privacy Policy or at the time we request the information, we do not otherwise use, share or otherwise disclose your personally identifiable information to any third parties.",,,,,,,,,
shareforexceptionandconsent,We only share your non-public personal information with non-affiliated third parties when we believe sharing is permitted by you or authorized by this Privacy Policy. ,,,,,,,,,
shareforexceptionandconsent,"Travelzoo does not rent or sell personal information about you with third parties, however, we reserve the right to share the personal information we collect about you through our Services with third parties when we have your permission or under the circumstances described below.",,,,,,,,,
shareonlyconsent,"As a general rule, Blizzard will not forward your information to a third party without your permission.",,,,,,,,,
shareonlyconsent,EA will never share your personal information with third parties without your consent.,,,,,,,,,
shareonlyconsent,"RealNetworks does not sell, rent, or share your personal information to a third party unless you consent to provide such information to a third party partner or content service",,,,,,,,,
shareonlyconsent,"We don't share, sell, or rent your personal information to third parties without your consent.",,,,,,,,,
shareonlyconsent,We may share personal information collected on the Website with our partners and third parties but only with your consent,,,,,,,,,
shareonlyconsent,"We will never rent, sell, or share your information with anyone without your express consent",,,,,,,,,
shareonlyconsent,"We do not share, sell or rent any personal information to any third parties without your explicit consent.",,,,,,,,,
shareonlyconsent,"We will never rent, sell, or share your information with anyone without your express consent.",,,,,,,,,
shareonlyconsent,"we will not sell, rent, swap or authorize any third party to use your e-mail address or any information that personally identifies you without your permission",,,,,,,,,
